oracle_file	fn_name	tier	rule_hit
ai/src/utils/aws_eventstream.rs	new	low	-
ai/src/utils/event_stream.rs	close	medium	-
ai/src/utils/event_stream.rs	create_assistant_message_event_stream	medium	-
ai/src/utils/event_stream.rs	is_closed	medium	-
ai/src/utils/event_stream.rs	new	medium	-
ai/src/utils/event_stream.rs	push	medium	-
ai/src/utils/event_stream.rs	result	medium	-
ai/src/utils/hash.rs	short_hash	low	-
ai/src/utils/headers.rs	merge_headers	low	-
ai/src/utils/headers.rs	user_agent	low	-
ai/src/utils/node_http_proxy.rs	build_client	medium	-
ai/src/utils/oauth/anthropic.rs	build_authorize_url	low	-
ai/src/utils/oauth/anthropic.rs	exchange_authorization_code	high	credential
ai/src/utils/oauth/anthropic.rs	login	high	credential
ai/src/utils/oauth/anthropic.rs	refresh	high	credential
ai/src/utils/oauth/github_copilot.rs	login	high	credential
ai/src/utils/oauth/github_copilot.rs	refresh	high	credential
ai/src/utils/oauth/openai_codex.rs	login	high	credential
ai/src/utils/oauth/openai_codex.rs	refresh	high	credential
ai/src/utils/overflow.rs	is_context_overflow	low	-
ai/src/utils/retry.rs	send_with_retry	medium	-
ai/src/utils/sanitize_unicode.rs	sanitize_surrogates	low	-
ai/src/utils/sse.rs	new	medium	-
ai/src/utils/typebox_helpers.rs	boolean	low	-
ai/src/utils/typebox_helpers.rs	number	low	-
ai/src/utils/typebox_helpers.rs	object	low	-
ai/src/utils/typebox_helpers.rs	string	low	-
ai/src/utils/validation.rs	validate	low	-
ai/src/vertex_adc.rs	build_jwt	low	-
ai/src/vertex_adc.rs	fetch_access_token	high	credential
ai/src/vertex_adc.rs	load_service_account	high	credential
ai/src/vertex_provider.rs	from_env	high	credential
ai/src/vertex_provider.rs	invoke	high	credential
coding-agent/src/agent_session.rs	harness	medium	-
coding-agent/src/agent_session.rs	is_retryable_error	medium	-
coding-agent/src/agent_session.rs	new	medium	-
coding-agent/src/agent_session.rs	prompt	medium	-
coding-agent/src/agent_session.rs	subscribe	medium	-
coding-agent/src/bug_report.rs	build	high	filesystem,parity-path
coding-agent/src/bug_report.rs	default_dest	medium	-
coding-agent/src/bug_report.rs	redact	medium	-
coding-agent/src/builtin_skills.rs	available_builtin_names	low	-
coding-agent/src/builtin_skills.rs	merge_with_user_project	low	-
coding-agent/src/builtin_skills.rs	parse_builtin_skills_config	low	-
coding-agent/src/builtin_skills.rs	resolve_builtins	low	-
coding-agent/src/clipboard_image.rs	read_clipboard	low	-
coding-agent/src/commands.rs	set_sink	medium	-
coding-agent/src/config.rs	base_dir	medium	-
coding-agent/src/config.rs	cwd_hash	medium	-
coding-agent/src/config.rs	memory_dir	medium	-
coding-agent/src/config.rs	parse_relay_base_url	medium	-
coding-agent/src/config.rs	parse_trigger_poll_interval_secs	medium	-
coding-agent/src/config.rs	relay_base_url	medium	-
coding-agent/src/config.rs	sessions_dir_for_cwd	medium	-
coding-agent/src/debug.rs	wrap_stream_fn	low	-
coding-agent/src/export.rs	default_export_path	medium	-
coding-agent/src/export.rs	render	high	user-visible,parity-path
coding-agent/src/export.rs	render_context	high	user-visible,parity-path
coding-agent/src/export.rs	save	high	filesystem,parity-path
coding-agent/src/extensions.rs	init_all	low	-
coding-agent/src/extensions.rs	iter	low	-
coding-agent/src/extensions.rs	new	low	-
coding-agent/src/extensions.rs	register	low	-
coding-agent/src/goal.rs	active	medium	-
coding-agent/src/goal.rs	as_str	medium	-
coding-agent/src/goal.rs	clear	medium	-
coding-agent/src/goal.rs	current	medium	-
coding-agent/src/goal.rs	pause	medium	-
coding-agent/src/goal.rs	resume	medium	-
coding-agent/src/goal.rs	set	medium	-
coding-agent/src/goal.rs	stop_hook	medium	-
coding-agent/src/history.rs	append	medium	-
coding-agent/src/history.rs	default_path	medium	-
coding-agent/src/history.rs	entries	medium	-
coding-agent/src/history.rs	is_empty	medium	-
coding-agent/src/history.rs	len	medium	-
coding-agent/src/history.rs	load	medium	-
coding-agent/src/history.rs	load_from	medium	-
coding-agent/src/history.rs	save	high	filesystem
coding-agent/src/hooks.rs	handle_event	low	-
coding-agent/src/hooks.rs	handle_harness_event	low	-
coding-agent/src/hooks.rs	harness_listener	low	-
coding-agent/src/hooks.rs	is_empty	low	-
coding-agent/src/hooks.rs	len	low	-
coding-agent/src/hooks.rs	listener	low	-
coding-agent/src/hooks.rs	load	low	-
coding-agent/src/images.rs	infer_mime	medium	-
coding-agent/src/images.rs	load_all	medium	-
coding-agent/src/images.rs	load_bytes	medium	-
coding-agent/src/images.rs	load_one	medium	-
coding-agent/src/inbox.rs	append	high	filesystem,parity-path
coding-agent/src/inbox.rs	default_inbox_path	medium	-
coding-agent/src/inbox.rs	dismiss_all_new	medium	-
coding-agent/src/inbox.rs	list	medium	-
coding-agent/src/inbox.rs	list_new	medium	-
coding-agent/src/inbox.rs	new_count	medium	-
coding-agent/src/inbox.rs	set_status	medium	-
coding-agent/src/local_models.rs	load_all	low	-
coding-agent/src/logging.rs	init	high	filesystem
coding-agent/src/logging.rs	logs_dir	low	-
coding-agent/src/lsp_supervisor.rs	as_after_tool_call	low	-
coding-agent/src/lsp_supervisor.rs	from_config	low	-
coding-agent/src/lsp_supervisor.rs	is_empty	low	-
coding-agent/src/lsp_supervisor.rs	language_count	low	-
coding-agent/src/lsp_supervisor.rs	load	low	-
coding-agent/src/lsp.rs	await_diagnostics	low	-
coding-agent/src/lsp.rs	diagnostics_for	low	-
coding-agent/src/lsp.rs	did_open	low	-
coding-agent/src/lsp.rs	initialize	low	-
coding-agent/src/lsp.rs	shutdown	low	-
coding-agent/src/lsp.rs	spawn	low	-
coding-agent/src/main.rs	user_message	low	-
coding-agent/src/markdown.rs	new	low	-
coding-agent/src/markdown.rs	render_line	high	user-visible
coding-agent/src/markdown.rs	render_line	high	user-visible
coding-agent/src/mcp_loader.rs	load_all	low	-
coding-agent/src/mentions.rs	expand	low	-
coding-agent/src/model_picker.rs	back	medium	-
coding-agent/src/model_picker.rs	down	medium	-
coding-agent/src/model_picker.rs	enter	medium	-
coding-agent/src/model_picker.rs	new	medium	-
coding-agent/src/model_picker.rs	up	medium	-
coding-agent/src/model_picker.rs	view	high	credential
coding-agent/src/model.rs	auto_detect_model	low	-
coding-agent/src/model.rs	credential_less_default	high	credential
coding-agent/src/oauth.rs	authorize_url	high	credential
coding-agent/src/oauth.rs	await_callback	high	credential,filesystem
coding-agent/src/oauth.rs	exchange_code	high	credential
coding-agent/src/oauth.rs	redirect_uri	low	-
coding-agent/src/oauth.rs	refresh_token	high	credential
coding-agent/src/otlp.rs	new	low	-
coding-agent/src/otlp.rs	try_layer	low	-
coding-agent/src/otlp.rs	with_service_name	low	-
coding-agent/src/readline.rs	from_registry	medium	-
coding-agent/src/readline.rs	from_registry_and_skills	medium	-
coding-agent/src/readline.rs	matches	medium	-
coding-agent/src/resume_picker.rs	pick_blocking	low	-
coding-agent/src/session_archive.rs	activate_imported	high	filesystem,parity-path
coding-agent/src/session_archive.rs	default_export_path	medium	-
coding-agent/src/session_archive.rs	export_session	high	credential,filesystem,parity-path
coding-agent/src/session_archive.rs	import_session	high	filesystem,parity-path
coding-agent/src/session/mod.rs	any_enabled	medium	-
coding-agent/src/session/mod.rs	automation_counts	medium	-
coding-agent/src/session/mod.rs	automation_elsewhere_hint	medium	-
coding-agent/src/session/mod.rs	badge	medium	-
coding-agent/src/session/mod.rs	create	medium	-
coding-agent/src/session/mod.rs	cron_sidecar_path	medium	-
coding-agent/src/session/mod.rs	cron_sidecar_path_for_session	medium	-
coding-agent/src/session/mod.rs	delete_by_id	high	filesystem,parity-path
coding-agent/src/session/mod.rs	endpoint_sidecar_path	medium	-
coding-agent/src/session/mod.rs	find_path_by_id	medium	-
coding-agent/src/session/mod.rs	is_empty	medium	-
coding-agent/src/session/mod.rs	list_entries	medium	-
coding-agent/src/session/mod.rs	newest_path	medium	-
coding-agent/src/session/mod.rs	resume	medium	-
coding-agent/src/session/mod.rs	trigger_sidecar_path	medium	-
coding-agent/src/session/mod.rs	trigger_sidecar_path_for_session	medium	-
coding-agent/src/skills_state.rs	apply	medium	-
coding-agent/src/skills_state.rs	load	medium	-
coding-agent/src/skills_state.rs	lookup	medium	-
coding-agent/src/skills_state.rs	remove	medium	-
coding-agent/src/skills_state.rs	remove_and_save	medium	-
coding-agent/src/skills_state.rs	save	high	filesystem
coding-agent/src/skills_state.rs	set	medium	-
coding-agent/src/skills_state.rs	set_and_save	medium	-
coding-agent/src/skills_state.rs	state_path	medium	-
coding-agent/src/skills.rs	load_all	low	-
coding-agent/src/spinner.rs	as_string	low	-
coding-agent/src/spinner.rs	new	low	-
coding-agent/src/spinner.rs	snapshot	low	-
coding-agent/src/spinner.rs	start	low	-
coding-agent/src/spinner.rs	start_with	low	-
coding-agent/src/spinner.rs	stop_sync	low	-
coding-agent/src/templates.rs	load_all	low	-
coding-agent/src/tools/install_skill.rs	new	medium	-
coding-agent/src/tools/install_skill.rs	with_skills_root	medium	-
coding-agent/src/tools/mcp_adapter.rs	new	low	-
coding-agent/src/tools/memory.rs	load_memory_block	low	-
coding-agent/src/tools/memory.rs	new	low	-
coding-agent/src/tools/mod.rs	default_tools	low	-
coding-agent/src/tools/mod.rs	install_skill_tool	low	-
coding-agent/src/tools/mod.rs	list_cron_jobs_tool	low	-
coding-agent/src/tools/mod.rs	list_triggers_tool	low	-
coding-agent/src/tools/mod.rs	new_cron_job_tool	low	-
coding-agent/src/tools/mod.rs	new_trigger_tool	low	-
coding-agent/src/tools/mod.rs	remove_cron_job_tool	low	-
coding-agent/src/tools/mod.rs	remove_skill_tool	low	-
coding-agent/src/tools/mod.rs	remove_trigger_tool	low	-
coding-agent/src/tools/mod.rs	set_cron_job_state_tool	low	-
coding-agent/src/tools/mod.rs	set_skill_state_tool	low	-
coding-agent/src/tools/mod.rs	set_trigger_state_tool	low	-
coding-agent/src/tools/mod.rs	skill_builder_tool	low	-
coding-agent/src/tools/mod.rs	skill_tool	low	-
coding-agent/src/tools/mod.rs	subagent_read_only_tools	low	-
coding-agent/src/tools/mod.rs	task_tool	low	-
coding-agent/src/tools/remove_skill.rs	new	low	-
coding-agent/src/tools/set_skill_state.rs	new	low	-
coding-agent/src/tools/skill_builder.rs	new	low	-
coding-agent/src/tools/skill_builder.rs	with_skills_root	low	-
coding-agent/src/tools/skill.rs	new	medium	-
coding-agent/src/tools/task.rs	new	low	-
coding-agent/src/tools/truncate.rs	note	low	-
coding-agent/src/tools/truncate.rs	truncate_head	low	-
coding-agent/src/tools/truncate.rs	truncate_tail	low	-
coding-agent/src/tools/web_search.rs	new	low	-
coding-agent/src/tools/web_search.rs	with_base_url	low	-
coding-agent/src/triggers/cron.rs	add_job	medium	-
coding-agent/src/triggers/cron.rs	add_job_full	medium	-
coding-agent/src/triggers/cron.rs	job_for_trace	medium	-
coding-agent/src/triggers/cron.rs	list	medium	-
coding-agent/src/triggers/cron.rs	load_from_path	medium	-
coding-agent/src/triggers/cron.rs	mark_completed	medium	-
coding-agent/src/triggers/cron.rs	new	medium	-
coding-agent/src/triggers/cron.rs	remove_job	medium	-
coding-agent/src/triggers/cron.rs	set_job_enabled	medium	-
coding-agent/src/triggers/cron.rs	storage_path	medium	-
coding-agent/src/triggers/dynamic.rs	add_from_spec	medium	-
coding-agent/src/triggers/dynamic.rs	add_rule	medium	-
coding-agent/src/triggers/dynamic.rs	add_rule_with_flags	medium	-
coding-agent/src/triggers/dynamic.rs	add_rule_with_options	medium	-
coding-agent/src/triggers/dynamic.rs	clear_rules	medium	-
coding-agent/src/triggers/dynamic.rs	list	medium	-
coding-agent/src/triggers/dynamic.rs	load_from_path	medium	-
coding-agent/src/triggers/dynamic.rs	mark_rules_fired	medium	-
coding-agent/src/triggers/dynamic.rs	new	medium	-
coding-agent/src/triggers/dynamic.rs	remove_rule	medium	-
coding-agent/src/triggers/dynamic.rs	set_rule_enabled	medium	-
coding-agent/src/triggers/dynamic.rs	storage_path	medium	-
coding-agent/src/triggers/mcp_notification_hook.rs	new	low	-
coding-agent/src/tui.rs	banner	low	-
coding-agent/src/tui.rs	error_line	low	-
coding-agent/src/tui.rs	harness_listener	low	-
coding-agent/src/tui.rs	listener	low	-
