oracle_file	fn_name	oracle_line	source	rule_hit	batch
coding-agent/src/goal.rs	clear	109	medium	-	B
coding-agent/src/goal.rs	current	69	medium	-	B
coding-agent/src/goal.rs	pause	86	medium	-	B
coding-agent/src/goal.rs	resume	96	medium	-	B
coding-agent/src/goal.rs	set	74	medium	-	B
coding-agent/src/goal.rs	stop_hook	223	medium	-	B
coding-agent/src/history.rs	append	56	medium	-	A
coding-agent/src/history.rs	default_path	22	medium	-	A
coding-agent/src/history.rs	entries	39	medium	-	A
coding-agent/src/history.rs	is_empty	49	medium	-	A
coding-agent/src/history.rs	len	44	medium	-	A
coding-agent/src/history.rs	load	18	medium	-	A
coding-agent/src/history.rs	load_from	26	medium	-	A
coding-agent/src/hooks.rs	handle_event	315	low	B	E1
coding-agent/src/hooks.rs	handle_harness_event	322	low	B	E1
coding-agent/src/hooks.rs	is_empty	286	low	B	E1
coding-agent/src/hooks.rs	len	290	low	B	E1
coding-agent/src/images.rs	infer_mime	15	medium	-	E1
coding-agent/src/images.rs	load_all	66	medium	-	E1
coding-agent/src/images.rs	load_bytes	41	medium	-	E1
coding-agent/src/images.rs	load_one	32	medium	-	E1
coding-agent/src/inbox.rs	default_inbox_path	42	medium	-	B
coding-agent/src/inbox.rs	dismiss_all_new	132	medium	-	B
coding-agent/src/inbox.rs	list	88	medium	-	B
coding-agent/src/inbox.rs	list_new	101	medium	-	B
coding-agent/src/inbox.rs	new_count	110	medium	-	B
coding-agent/src/inbox.rs	set_status	115	medium	-	B
coding-agent/src/local_models.rs	load_all	25	low	D	E1
coding-agent/src/lsp.rs	did_open	183	low	D	E1
coding-agent/src/lsp.rs	initialize	163	low	D	E1
coding-agent/src/lsp.rs	spawn	69	low	D	E1
coding-agent/src/markdown.rs	new	121	low	B	E1
coding-agent/src/mentions.rs	expand	26	low	B	E1
coding-agent/src/model_picker.rs	back	138	medium	-	E1
coding-agent/src/model_picker.rs	down	101	medium	-	E1
coding-agent/src/model_picker.rs	enter	109	medium	-	E1
coding-agent/src/model_picker.rs	new	81	medium	-	E1
coding-agent/src/model_picker.rs	up	97	medium	-	E1
coding-agent/src/model.rs	auto_detect_model	23	low	B,D	E1
coding-agent/src/otlp.rs	try_layer	30	low	B	E1
coding-agent/src/readline.rs	from_registry	19	medium	-	E1
coding-agent/src/readline.rs	from_registry_and_skills	23	medium	-	E2
coding-agent/src/readline.rs	matches	43	medium	-	E2
coding-agent/src/resume_picker.rs	pick_blocking	157	low	D	E2
coding-agent/src/session_archive.rs	default_export_path	360	medium	-	A
coding-agent/src/session/mod.rs	any_enabled	249	medium	-	A
coding-agent/src/session/mod.rs	automation_counts	295	medium	-	A
coding-agent/src/session/mod.rs	automation_elsewhere_hint	315	medium	-	A
coding-agent/src/session/mod.rs	badge	255	medium	-	A
coding-agent/src/session/mod.rs	create	77	medium	-	A
coding-agent/src/session/mod.rs	cron_sidecar_path	30	medium	-	A
coding-agent/src/session/mod.rs	cron_sidecar_path_for_session	60	medium	-	A
coding-agent/src/session/mod.rs	endpoint_sidecar_path	55	medium	-	A
coding-agent/src/session/mod.rs	find_path_by_id	222	medium	-	A
coding-agent/src/session/mod.rs	is_empty	245	medium	-	A
coding-agent/src/session/mod.rs	list_entries	100	medium	-	A
coding-agent/src/session/mod.rs	newest_path	228	medium	-	A
coding-agent/src/session/mod.rs	resume	82	medium	-	A
coding-agent/src/session/mod.rs	trigger_sidecar_path	25	medium	-	A
coding-agent/src/session/mod.rs	trigger_sidecar_path_for_session	38	medium	-	A
coding-agent/src/skills_state.rs	apply	124	medium	-	E2
coding-agent/src/skills_state.rs	load	88	medium	-	E2
coding-agent/src/skills_state.rs	lookup	47	medium	-	E2
coding-agent/src/skills_state.rs	remove	73	medium	-	E2
coding-agent/src/skills_state.rs	remove_and_save	151	medium	-	E2
coding-agent/src/skills_state.rs	set	54	medium	-	E2
coding-agent/src/skills_state.rs	set_and_save	135	medium	-	E2
coding-agent/src/skills_state.rs	state_path	82	medium	-	E2
coding-agent/src/spinner.rs	as_string	68	low	B	E2
coding-agent/src/spinner.rs	new	62	low	B	E2
coding-agent/src/spinner.rs	snapshot	65	low	B	E2
coding-agent/src/spinner.rs	start	125	low	B	E2
coding-agent/src/spinner.rs	start_with	132	low	B	E2
coding-agent/src/spinner.rs	stop_sync	100	low	B	E2
coding-agent/src/tools/install_skill.rs	new	91	medium	-	E2
coding-agent/src/tools/install_skill.rs	with_skills_root	98	medium	-	E2
coding-agent/src/tools/mcp_adapter.rs	new	28	low	B	E2
coding-agent/src/tools/mod.rs	remove_cron_job_tool	135	low	C	E2
coding-agent/src/tools/mod.rs	remove_skill_tool	115	low	C	E2
coding-agent/src/tools/mod.rs	remove_trigger_tool	165	low	C	E2
coding-agent/src/tools/mod.rs	set_cron_job_state_tool	142	low	C	E2
coding-agent/src/tools/mod.rs	set_skill_state_tool	108	low	C	E2
coding-agent/src/tools/mod.rs	set_trigger_state_tool	171	low	C	E2
coding-agent/src/tools/remove_skill.rs	new	47	low	B	E2
coding-agent/src/tools/set_skill_state.rs	new	56	low	B	E2
coding-agent/src/tools/skill_builder.rs	new	46	low	B	E2
coding-agent/src/tools/skill_builder.rs	with_skills_root	50	low	B	E2
coding-agent/src/tools/skill.rs	new	42	medium	-	E2
coding-agent/src/tools/truncate.rs	truncate_head	29	low	B	E2
coding-agent/src/tools/truncate.rs	truncate_tail	54	low	B	E2
coding-agent/src/tools/web_search.rs	new	31	low	B	E2
coding-agent/src/triggers/cron.rs	add_job	113	medium	-	B
coding-agent/src/triggers/cron.rs	add_job_full	117	medium	-	B
coding-agent/src/triggers/cron.rs	job_for_trace	245	medium	-	B
coding-agent/src/triggers/cron.rs	list	106	medium	-	B
coding-agent/src/triggers/cron.rs	load_from_path	86	medium	-	B
coding-agent/src/triggers/cron.rs	mark_completed	254	medium	-	B
coding-agent/src/triggers/cron.rs	new	82	medium	-	B
coding-agent/src/triggers/cron.rs	remove_job	162	medium	-	B
coding-agent/src/triggers/cron.rs	set_job_enabled	177	medium	-	B
coding-agent/src/triggers/cron.rs	storage_path	102	medium	-	B
coding-agent/src/triggers/dynamic.rs	add_from_spec	133	medium	-	B
coding-agent/src/triggers/dynamic.rs	add_rule	91	medium	-	B
coding-agent/src/triggers/dynamic.rs	add_rule_with_flags	108	medium	-	B
coding-agent/src/triggers/dynamic.rs	add_rule_with_options	99	medium	-	B
coding-agent/src/triggers/dynamic.rs	clear_rules	197	medium	-	B
coding-agent/src/triggers/dynamic.rs	list	152	medium	-	B
coding-agent/src/triggers/dynamic.rs	load_from_path	75	medium	-	B
coding-agent/src/triggers/dynamic.rs	mark_rules_fired	210	medium	-	B
coding-agent/src/triggers/dynamic.rs	new	71	medium	-	B
coding-agent/src/triggers/dynamic.rs	remove_rule	156	medium	-	B
coding-agent/src/triggers/dynamic.rs	set_rule_enabled	174	medium	-	B
coding-agent/src/triggers/dynamic.rs	storage_path	87	medium	-	B
coding-agent/src/triggers/mcp_notification_hook.rs	new	90	low	B	B
coding-agent/src/ui/feed.rs	clear	176	low	C	E2
coding-agent/src/ui/feed.rs	new	168	low	B	E2
coding-agent/src/ui/feed.rs	push_user	183	low	B	E2
coding-agent/src/ui/mod.rs	new	189	low	B	E2
coding-agent/src/ui/mod.rs	run	354	low	D	E2
coding-agent/src/ui/relay.rs	start	170	low	D	E2
coding-agent/src/ui/web.rs	run_web	217	low	D	E2
mcp/src/client.rs	initialize	189	low	D	D
mcp/src/client.rs	tools_call	232	low	D	D
mcp/src/client.rs	tools_list	213	low	D	D
mcp/src/http.rs	connect	115	low	D	D
mcp/src/http.rs	new	81	low	B	D
mcp/src/http.rs	set_auth	157	low	C	D
mcp/src/protocol.rs	make_notification	157	medium	-	D
mcp/src/protocol.rs	make_request	144	medium	-	D
mcp/src/stdio.rs	spawn	28	low	D	D
