kind	anchor	scope	count
rs-line	agent_harness.rs:556-589	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:560-589	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:58-64	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:59-68	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:595-605	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:622-625	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:630-637	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:640-980	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:667-671	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:682-705	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:684-691	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:728-736	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:763-770	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:776	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:778-790	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:792-801	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:814	packages/agent/src/harness/agent-harness.ts	2
rs-line	agent_harness.rs:818-826	packages/agent/src/harness/agent-harness.ts	3
rs-line	agent_harness.rs:828-830	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:831-833	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:834-837	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:838-843	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:84-90	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:844-847	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:848-859	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:860-864	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:865-869	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:899-908	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:925	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:932	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:936	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:937	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:938-940	packages/agent/src/harness/agent-harness.ts	1
