oracle_key	ts_file	ts_lines	exports	hint
ai/src/utils/aws_eventstream.rs::new@33		0		no-file
ai/src/utils/headers.rs::merge_headers@10	packages/ai/src/utils/headers.ts	14	headersToRecord,userAgent	substantial
ai/src/utils/node_http_proxy.rs::build_client@19	packages/ai/src/utils/node-http-proxy.ts	124	NodeHttpProxyAgents,UNSUPPORTED_PROXY_PROTOCOL_MESSAGE,resolveHttpProxyUrlForTarget,createHttpProxyAgentsForTarget	substantial
ai/src/utils/oauth/anthropic.rs::build_authorize_url@34	packages/ai/src/utils/oauth/anthropic.ts	465	loginAnthropic,refreshAnthropicToken,anthropicOAuthProvider	substantial
ai/src/utils/sse.rs::new@29		0		no-file
ai/src/vertex_adc.rs::build_jwt@96	packages/ai/src/utils/vertex-adc.ts	197	VertexAdcErrorCode,VertexAdcError,VertexServiceAccount,VertexAccessToken,loadVertexServiceAccount,buildVertexJwt,fetchVertexAccessToken	substantial
coding-agent/src/agent_session.rs::is_retryable_error@57	packages/coding-agent/src/core/agent-session.ts	3345	RETRY_MAX_DELAY_MS,retryBackoffMs,isRetryableErrorMessage,ParsedSkillBlock,parseSkillBlock,AgentSessionEvent,AgentSessionEventListener,AgentSessionConfig,ExtensionBindings,PromptOptions,ModelCycleResult,SessionStats,AgentSession	substantial+named
coding-agent/src/commands.rs::set_sink@33	packages/coding-agent/examples/extensions/commands.ts	73		substantial
coding-agent/src/config.rs::cwd_hash@33	packages/coding-agent/src/config.ts	698	isBunBinary,isBunRuntime,InstallMethod,SelfUpdateCommand,detectInstallMethod,getSelfUpdateCommand,getSelfUpdateUnavailableInstruction,getUpdateInstruction,getPackageDir,getThemesDir,getExportTemplateDir,getPackageJsonPath,getReadmePath,getDocsPath,getExamplesPath,getChangelogPath,getInteractiveAssetsDir,getBundledInteractiveAssetPath,PACKAGE_NAME,APP_NAME,APP_TITLE,CONFIG_DIR_NAME,VERSION,ENV_AGENT_DIR,ENV_SESSION_DIR,expandTildePath,getShareViewerUrl,ENV_BASE_DIR,getAgentDir,getCustomThemesDir,getModelsPath,getAuthPath,getSettingsPath,getToolsDir,getBinDir,getPromptsDir,getSessionsDir,getMemoryDir,getDebugLogPath,getConfigTomlPath,parseTriggerPollIntervalSecs,DEFAULT_RELAY_BASE_URL,parseRelayBaseUrl,relayBaseUrl	substantial
coding-agent/src/config.rs::memory_dir@27	packages/coding-agent/src/config.ts	698	isBunBinary,isBunRuntime,InstallMethod,SelfUpdateCommand,detectInstallMethod,getSelfUpdateCommand,getSelfUpdateUnavailableInstruction,getUpdateInstruction,getPackageDir,getThemesDir,getExportTemplateDir,getPackageJsonPath,getReadmePath,getDocsPath,getExamplesPath,getChangelogPath,getInteractiveAssetsDir,getBundledInteractiveAssetPath,PACKAGE_NAME,APP_NAME,APP_TITLE,CONFIG_DIR_NAME,VERSION,ENV_AGENT_DIR,ENV_SESSION_DIR,expandTildePath,getShareViewerUrl,ENV_BASE_DIR,getAgentDir,getCustomThemesDir,getModelsPath,getAuthPath,getSettingsPath,getToolsDir,getBinDir,getPromptsDir,getSessionsDir,getMemoryDir,getDebugLogPath,getConfigTomlPath,parseTriggerPollIntervalSecs,DEFAULT_RELAY_BASE_URL,parseRelayBaseUrl,relayBaseUrl	substantial+named
coding-agent/src/config.rs::sessions_dir_for_cwd@21	packages/coding-agent/src/config.ts	698	isBunBinary,isBunRuntime,InstallMethod,SelfUpdateCommand,detectInstallMethod,getSelfUpdateCommand,getSelfUpdateUnavailableInstruction,getUpdateInstruction,getPackageDir,getThemesDir,getExportTemplateDir,getPackageJsonPath,getReadmePath,getDocsPath,getExamplesPath,getChangelogPath,getInteractiveAssetsDir,getBundledInteractiveAssetPath,PACKAGE_NAME,APP_NAME,APP_TITLE,CONFIG_DIR_NAME,VERSION,ENV_AGENT_DIR,ENV_SESSION_DIR,expandTildePath,getShareViewerUrl,ENV_BASE_DIR,getAgentDir,getCustomThemesDir,getModelsPath,getAuthPath,getSettingsPath,getToolsDir,getBinDir,getPromptsDir,getSessionsDir,getMemoryDir,getDebugLogPath,getConfigTomlPath,parseTriggerPollIntervalSecs,DEFAULT_RELAY_BASE_URL,parseRelayBaseUrl,relayBaseUrl	substantial
coding-agent/src/hooks.rs::handle_harness_event@322	packages/coding-agent/src/hooks.ts	867	HookEvent,parseHookEvent,HookCwd,OnFailure,HookRule,HookPayload,LoadedHooks,parseHooksFileText,pushRules,load,HookRunnerOptions,HookRunner	substantial
coding-agent/src/hooks.rs::len@290	packages/coding-agent/src/hooks.ts	867	HookEvent,parseHookEvent,HookCwd,OnFailure,HookRule,HookPayload,LoadedHooks,parseHooksFileText,pushRules,load,HookRunnerOptions,HookRunner	substantial
coding-agent/src/images.rs::load_bytes@41	packages/ai/src/images.ts	25	generateImages	substantial
coding-agent/src/images.rs::load_one@32	packages/ai/src/images.ts	25	generateImages	substantial
coding-agent/src/readline.rs::from_registry@19	packages/coding-agent/src/readline.ts	196	SlashCompleter	substantial
coding-agent/src/resume_picker.rs::pick_blocking@157		0		no-file
coding-agent/src/session/mod.rs::cron_sidecar_path_for_session@60		0		no-file
coding-agent/src/session/mod.rs::trigger_sidecar_path_for_session@38		0		no-file
coding-agent/src/skills_state.rs::remove_and_save@151	packages/coding-agent/src/skills-state.ts	245	SKILLS_STATE_FILE,SkillSource,skillSourceLabel,SkillStateEntry,SkillsState,createEmptySkillsState,lookupSkillState,setSkillState,removeSkillState,skillsStatePath,loadSkillsState,saveSkillsState,applySkillsStateOverlay,setAndSaveSkillsState,removeAndSaveSkillsState	substantial+named
coding-agent/src/tools/install_skill.rs::with_skills_root@98	packages/coding-agent/src/tools/install-skill.ts	803	InstallSkillSource,InstallSkillToolInput,InstallSkillToolDetails,InstallSkillToolOptions,defaultSkillsRoot,ParsedSkill,parseAndValidateSkillMd,onDiskSkillHash,atomicWriteSkill,SkillCatalogSnapshot,reloadSkillCatalog,relevantDiagnosticWarnings,auditUrlReference,auditSourceReference,classifyInstallSkillPermission,createInstallSkillToolDefinition,createInstallSkillTool	substantial
coding-agent/src/tools/mcp_adapter.rs::new@28	packages/coding-agent/src/tools/mcp-adapter.ts	139	McpAgentToolDetails,McpAgentTool	substantial
coding-agent/src/tools/mod.rs::remove_cron_job_tool@135	packages/coding-agent/src/tools/index.ts	293	DefaultToolsOptions,defaultTools,SubagentReadOnlyToolsOptions,subagentReadOnlyTools,taskTool,DefaultToolDefinitionsOptions,defaultToolDefinitions,createGitTool,createGitToolDefinition,createInstallSkillTool,createInstallSkillToolDefinition,McpAgentTool,createMemoryTool,createMemoryToolDefinition,createRemoveSkillTool,createRemoveSkillToolDefinition,createSetSkillStateTool,createSetSkillStateToolDefinition,createSkillTool,createSkillToolDefinition,createSkillBuilderTool,createSkillBuilderToolDefinition,createTaskTool,createTaskToolDefinition,createWebFetchTool,createWebFetchToolDefinition,createWebSearchTool,createWebSearchToolDefinition	substantial
coding-agent/src/tools/mod.rs::remove_trigger_tool@165	packages/coding-agent/src/tools/index.ts	293	DefaultToolsOptions,defaultTools,SubagentReadOnlyToolsOptions,subagentReadOnlyTools,taskTool,DefaultToolDefinitionsOptions,defaultToolDefinitions,createGitTool,createGitToolDefinition,createInstallSkillTool,createInstallSkillToolDefinition,McpAgentTool,createMemoryTool,createMemoryToolDefinition,createRemoveSkillTool,createRemoveSkillToolDefinition,createSetSkillStateTool,createSetSkillStateToolDefinition,createSkillTool,createSkillToolDefinition,createSkillBuilderTool,createSkillBuilderToolDefinition,createTaskTool,createTaskToolDefinition,createWebFetchTool,createWebFetchToolDefinition,createWebSearchTool,createWebSearchToolDefinition	substantial
coding-agent/src/tools/mod.rs::set_cron_job_state_tool@142	packages/coding-agent/src/tools/index.ts	293	DefaultToolsOptions,defaultTools,SubagentReadOnlyToolsOptions,subagentReadOnlyTools,taskTool,DefaultToolDefinitionsOptions,defaultToolDefinitions,createGitTool,createGitToolDefinition,createInstallSkillTool,createInstallSkillToolDefinition,McpAgentTool,createMemoryTool,createMemoryToolDefinition,createRemoveSkillTool,createRemoveSkillToolDefinition,createSetSkillStateTool,createSetSkillStateToolDefinition,createSkillTool,createSkillToolDefinition,createSkillBuilderTool,createSkillBuilderToolDefinition,createTaskTool,createTaskToolDefinition,createWebFetchTool,createWebFetchToolDefinition,createWebSearchTool,createWebSearchToolDefinition	substantial
coding-agent/src/tools/mod.rs::set_trigger_state_tool@171	packages/coding-agent/src/tools/index.ts	293	DefaultToolsOptions,defaultTools,SubagentReadOnlyToolsOptions,subagentReadOnlyTools,taskTool,DefaultToolDefinitionsOptions,defaultToolDefinitions,createGitTool,createGitToolDefinition,createInstallSkillTool,createInstallSkillToolDefinition,McpAgentTool,createMemoryTool,createMemoryToolDefinition,createRemoveSkillTool,createRemoveSkillToolDefinition,createSetSkillStateTool,createSetSkillStateToolDefinition,createSkillTool,createSkillToolDefinition,createSkillBuilderTool,createSkillBuilderToolDefinition,createTaskTool,createTaskToolDefinition,createWebFetchTool,createWebFetchToolDefinition,createWebSearchTool,createWebSearchToolDefinition	substantial
coding-agent/src/tools/skill_builder.rs::with_skills_root@50	packages/coding-agent/src/tools/skill-builder.ts	317	SkillBuilderToolInput,SkillBuilderToolDetails,SkillBuilderToolOptions,renderSkillMd,classifySkillBuilderPermission,createSkillBuilderToolDefinition,createSkillBuilderTool	substantial
coding-agent/src/triggers/dynamic.rs::storage_path@87	packages/coding-agent/src/triggers/dynamic.ts	1375	DEFAULT_DYNAMIC_TRIGGER_POLL_INTERVAL_SECS,setDynamicTriggerPollIntervalSecs,dynamicTriggerPollIntervalSecs,DynamicTriggerRule,ParseTriggerRuleError,DynamicTriggerStorageError,AddTriggerRuleError,DynamicTriggerRegistry,globalRegistry,DynamicTriggerCheckHook,ParsedTriggerRule,parseTriggerRule,beforeTriggerActionHook,directInjectActionHook,fireOnceHarnessListener,extractDynamicRuleIds,NewTriggerTool,ListTriggersTool,RemoveTriggerTool,SetTriggerStateTool	substantial
coding-agent/src/ui/mod.rs::new@189	packages/coding-agent/src/ui/index.ts	1903	AppSession,AppHarness,AppKernel,TuiKey,TuiEvent,TerminalDriver,escapeSequenceDriver,AppConfig,loginRequiresTtyMessage,App	substantial
coding-agent/src/ui/mod.rs::run@354	packages/coding-agent/src/ui/index.ts	1903	AppSession,AppHarness,AppKernel,TuiKey,TuiEvent,TerminalDriver,escapeSequenceDriver,AppConfig,loginRequiresTtyMessage,App	substantial
mcp/src/http.rs::connect@115	packages/mcp/src/http.ts	485	ReconnectPolicy,HttpMcpAuth,debugHttpMcpAuth,HttpMcpTransportOptions,createHttpMcpTransportOptions,withBearerAuth,SseParser,HttpMcpTransport	substantial+named
mcp/src/http.rs::new@81	packages/mcp/src/http.ts	485	ReconnectPolicy,HttpMcpAuth,debugHttpMcpAuth,HttpMcpTransportOptions,createHttpMcpTransportOptions,withBearerAuth,SseParser,HttpMcpTransport	substantial
mcp/src/http.rs::set_auth@157	packages/mcp/src/http.ts	485	ReconnectPolicy,HttpMcpAuth,debugHttpMcpAuth,HttpMcpTransportOptions,createHttpMcpTransportOptions,withBearerAuth,SseParser,HttpMcpTransport	substantial
mcp/src/stdio.rs::spawn@28	packages/mcp/src/stdio.ts	141	StdioTransport	substantial
