oracle_key	ts_file	ts_lines	exports	hint
coding-agent/src/tui.rs::error_line@93	packages/coding-agent/src/tui.ts	729	OutputSink,STDOUT_SINK,RESET,ITALIC,YELLOW,RED,DARK_GREY,DARK_GREEN,truncateChars,preview,isNoMatchDynamicSummary,Tui	substantial
coding-agent/src/tui.rs::harness_listener@112	packages/coding-agent/src/tui.ts	729	OutputSink,STDOUT_SINK,RESET,ITALIC,YELLOW,RED,DARK_GREY,DARK_GREEN,truncateChars,preview,isNoMatchDynamicSummary,Tui	substantial
coding-agent/src/tui.rs::listener@102	packages/coding-agent/src/tui.ts	729	OutputSink,STDOUT_SINK,RESET,ITALIC,YELLOW,RED,DARK_GREY,DARK_GREEN,truncateChars,preview,isNoMatchDynamicSummary,Tui	substantial
coding-agent/src/tui.rs::new@38	packages/coding-agent/src/tui.ts	729	OutputSink,STDOUT_SINK,RESET,ITALIC,YELLOW,RED,DARK_GREY,DARK_GREEN,truncateChars,preview,isNoMatchDynamicSummary,Tui	substantial
coding-agent/src/tui.rs::system_line@86	packages/coding-agent/src/tui.ts	729	OutputSink,STDOUT_SINK,RESET,ITALIC,YELLOW,RED,DARK_GREY,DARK_GREEN,truncateChars,preview,isNoMatchDynamicSummary,Tui	substantial
coding-agent/src/tui.rs::user_prompt_marker@78	packages/coding-agent/src/tui.ts	729	OutputSink,STDOUT_SINK,RESET,ITALIC,YELLOW,RED,DARK_GREY,DARK_GREEN,truncateChars,preview,isNoMatchDynamicSummary,Tui	substantial
coding-agent/src/ui/feed.rs::push_user_at@187	packages/coding-agent/src/ui/feed.ts	849	Level,TriggerPollStatus,FeedUpdate,WebFeedBlock,FeedColor,FeedStyle,FeedLine,TOOL_OUTPUT_HEAD_LINES,TOOL_OUTPUT_TAIL_LINES,TOOL_OUTPUT_ERROR_HEAD_LINES,TOOL_OUTPUT_ERROR_TAIL_LINES,TOOL_OUTPUT_MAX_LINE_CHARS,TOOL_OUTPUT_ERROR_MAX_LINE_CHARS,strWidth,formatTimestampLabel,Feed,wrapStr,compactToolOutputLines,compactToolContentBlocks,preview,truncateChars	substantial
coding-agent/src/ui/listener.rs::agent_listener@21	packages/coding-agent/src/ui/listener.ts	328	agentListener,mapAgentEvent,harnessListener,mapHarnessEvent,dynamicPollStatusUpdate	substantial+named
coding-agent/src/ui/listener.rs::harness_listener@95	packages/coding-agent/src/ui/listener.ts	328	agentListener,mapAgentEvent,harnessListener,mapHarnessEvent,dynamicPollStatusUpdate	substantial+named
coding-agent/src/ui/mod.rs::banner@248	packages/coding-agent/src/ui/index.ts	1903	AppSession,AppHarness,AppKernel,TuiKey,TuiEvent,TerminalDriver,escapeSequenceDriver,AppConfig,loginRequiresTtyMessage,App	substantial
coding-agent/src/ui/mod.rs::error_line@288	packages/coding-agent/src/ui/index.ts	1903	AppSession,AppHarness,AppKernel,TuiKey,TuiEvent,TerminalDriver,escapeSequenceDriver,AppConfig,loginRequiresTtyMessage,App	substantial
coding-agent/src/ui/mod.rs::replay@294	packages/coding-agent/src/ui/index.ts	1903	AppSession,AppHarness,AppKernel,TuiKey,TuiEvent,TerminalDriver,escapeSequenceDriver,AppConfig,loginRequiresTtyMessage,App	substantial
coding-agent/src/ui/mod.rs::system_line@284	packages/coding-agent/src/ui/index.ts	1903	AppSession,AppHarness,AppKernel,TuiKey,TuiEvent,TerminalDriver,escapeSequenceDriver,AppConfig,loginRequiresTtyMessage,App	substantial
coding-agent/src/ui/relay.rs::push_snapshot@97	packages/coding-agent/src/ui/relay.ts	1079	AgentFrame,WorkerFrame,RelayState,RelaySinks,RelaySocket,RelayDeps,RelayHandle,newToken,agentWsUrl,viewerUrl,qrLines,start,snapshotFrame,parseWorkerFrame,QrMatrix,qrGeneratorPolynomial,qrFormatInfo,qrVersionInfo,qrEncodeByteMode,renderDense1x2Inverted	substantial
coding-agent/src/ui/relay.rs::shutdown@119	packages/coding-agent/src/ui/relay.ts	1079	AgentFrame,WorkerFrame,RelayState,RelaySinks,RelaySocket,RelayDeps,RelayHandle,newToken,agentWsUrl,viewerUrl,qrLines,start,snapshotFrame,parseWorkerFrame,QrMatrix,qrGeneratorPolynomial,qrFormatInfo,qrVersionInfo,qrEncodeByteMode,renderDense1x2Inverted	substantial
coding-agent/src/ui/relay.rs::status_line@101	packages/coding-agent/src/ui/relay.ts	1079	AgentFrame,WorkerFrame,RelayState,RelaySinks,RelaySocket,RelayDeps,RelayHandle,newToken,agentWsUrl,viewerUrl,qrLines,start,snapshotFrame,parseWorkerFrame,QrMatrix,qrGeneratorPolynomial,qrFormatInfo,qrVersionInfo,qrEncodeByteMode,renderDense1x2Inverted	substantial
